Section,Address,Name
Customer Support,reviewpro.customersuccess@shijigroup.com,Customer Success team - EMEA
Customer Support,reviewpro.asia@shijigroup.com,Customer Success team - APAC
Customer Support,reviewpro.china@shijigroup.com,Customer Success team - China
Customer Support,reviewpro.us@shijigroup.com,Customer Success team - USA
Customer Support,reviewpro.anz@shijigroup.com,Customer Success team - Australia & New Zealand
Sales Inquiries,reviewpro.sales@shijigroup.com,Sales team
Partnership Opportunities,partnerships@shijigroup.com,Business Development team
Press,reviewpro.press@shijigroup.com,PR team
Billing Issues,billing.spain@shijigroup.com,Finance team
Products,/products/guest-experience-platform,Guest Experience Platform
Products,/products/hotel-reputation,Hotel Reputation
Products,/products/guest-surveys,Guest Surveys
Products,/products/case-management,Case Management
Products,/products/messaging-automation,Guest Communications
Essentials,/essentials/global-review-index,Global Review Index™
Essentials,/essentials/competitor-analysis,Competitor Analysis
Essentials,/essentials/mobile-app,Mobile App
Essentials,/essentials/semantic-analysis,Semantic Analysis
Essentials,/integrations,Integrations
